,T,p,p_rgh,Ux,Uy,Ux
0,298.486,100144.0,143.753,-0.0119556,0.00838032,0.0
1,294.3,100144.0,143.754,-0.0170974,-0.000203071,0.0
2,293.407,100144.0,143.754,-0.0149834,-0.00174682,0.0
3,293.195,100144.0,143.755,-0.0118863,-0.00151484,0.0
4,293.139,100144.0,143.755,-0.0092809,-0.00103949,0.0
5,293.123,100144.0,143.755,-0.00742135,-0.000670781,0.0
6,293.118,100144.0,143.755,-0.00613135,-0.000430014,0.0
7,293.116,100144.0,143.755,-0.00522548,-0.000279914,0.0
8,293.116,100144.0,143.755,-0.00457333,-0.000186962,0.0
9,293.115,100144.0,143.755,-0.00409181,-0.00012866,0.0
10,293.115,100144.0,143.755,-0.00372778,-9.11972e-05,0.0
11,293.115,100144.0,143.755,-0.00344684,-6.64027e-05,0.0
12,293.115,100144.0,143.755,-0.00322625,-4.94705e-05,0.0
13,293.115,100144.0,143.755,-0.00305064,-3.75413e-05,0.0
14,293.115,100144.0,143.755,-0.00290937,-2.8882e-05,0.0
15,293.115,100144.0,143.755,-0.0027949,-2.24192e-05,0.0
16,293.115,100144.0,143.755,-0.00270172,-1.74722e-05,0.0
17,293.115,100144.0,143.755,-0.0026258,-1.35978e-05,0.0
18,293.115,100144.0,143.755,-0.00256404,-1.05001e-05,0.0
19,293.115,100144.0,143.755,-0.00251411,-7.97581e-06,0.0
20,293.115,100144.0,143.755,-0.00247415,-5.88299e-06,0.0
21,293.115,100144.0,143.755,-0.00244272,-4.12039e-06,0.0
22,293.115,100144.0,143.755,-0.00241865,-2.61365e-06,0.0
23,293.115,100144.0,143.755,-0.00240102,-1.30506e-06,0.0
24,293.115,100144.0,143.755,-0.00238906,-1.44541e-07,0.0
25,293.115,100144.0,143.755,-0.00238219,9.25265e-07,0.0
26,293.115,100144.0,143.755,-0.00237986,1.95452e-06,0.0
27,293.115,100144.0,143.755,-0.0023819,2.80947e-06,0.0
28,293.115,100144.0,143.755,-0.00238803,3.53507e-06,0.0
29,293.115,100144.0,143.755,-0.0023977,4.20952e-06,0.0
30,293.115,100144.0,143.755,-0.00241058,4.8605e-06,0.0
31,293.115,100144.0,143.755,-0.00242646,5.47556e-06,0.0
32,293.115,100144.0,143.755,-0.00244517,6.05668e-06,0.0
33,293.115,100144.0,143.755,-0.00246653,6.6112e-06,0.0
34,293.115,100144.0,143.755,-0.00249044,7.14659e-06,0.0
35,293.115,100144.0,143.755,-0.00251677,7.66902e-06,0.0
36,293.115,100144.0,143.755,-0.00254546,8.18328e-06,0.0
37,293.115,100144.0,143.755,-0.00257644,8.69309e-06,0.0
38,293.115,100144.0,143.755,-0.00260968,9.20163e-06,0.0
39,293.115,100144.0,143.755,-0.00264514,9.71189e-06,0.0
40,293.115,100144.0,143.755,-0.00268281,1.02268e-05,0.0
41,293.115,100144.0,143.755,-0.00272269,1.07494e-05,0.0
42,293.115,100144.0,143.755,-0.00276479,1.12823e-05,0.0
43,293.115,100144.0,143.755,-0.00280914,1.18281e-05,0.0
44,293.115,100144.0,143.755,-0.00285577,1.23896e-05,0.0
45,293.115,100144.0,143.755,-0.00290473,1.29693e-05,0.0
46,293.115,100144.0,143.755,-0.00295606,1.35697e-05,0.0
47,293.115,100144.0,143.755,-0.00300984,1.41932e-05,0.0
48,293.115,100144.0,143.755,-0.00306614,1.48423e-05,0.0
49,293.115,100144.0,143.755,-0.00312504,1.55194e-05,0.0
50,293.115,100144.0,143.755,-0.00318663,1.6227e-05,0.0
51,293.115,100144.0,143.755,-0.00325102,1.69677e-05,0.0
52,293.115,100144.0,143.755,-0.00331833,1.7744e-05,0.0
53,293.115,100144.0,143.755,-0.00338868,1.85586e-05,0.0
54,293.115,100144.0,143.755,-0.0034622,1.94145e-05,0.0
55,293.115,100144.0,143.755,-0.00353904,2.03146e-05,0.0
