,T,p,p_rgh,Ux,Uy,Ux
0,298.486,100143.0,143.498,-0.0119557,0.00838035,0.0
1,294.3,100143.0,143.499,-0.0170974,-0.000203094,0.0
2,293.407,100143.0,143.499,-0.0149835,-0.00174677,0.0
3,293.195,100143.0,143.499,-0.0118867,-0.00151475,0.0
4,293.139,100143.0,143.499,-0.00928138,-0.00103943,0.0
5,293.123,100143.0,143.499,-0.00742193,-0.000670755,0.0
6,293.118,100143.0,143.499,-0.00613195,-0.000430018,0.0
7,293.116,100143.0,143.499,-0.00522605,-0.000279937,0.0
8,293.115,100143.0,143.499,-0.00457382,-0.000186996,0.0
9,293.115,100143.0,143.499,-0.00409219,-0.000128702,0.0
10,293.115,100143.0,143.499,-0.00372804,-9.1243e-05,0.0
11,293.115,100143.0,143.499,-0.00344695,-6.64507e-05,0.0
12,293.115,100143.0,143.499,-0.0032262,-4.95196e-05,0.0
13,293.115,100143.0,143.499,-0.00305043,-3.75908e-05,0.0
14,293.115,100143.0,143.499,-0.002909,-2.89319e-05,0.0
15,293.115,100143.0,143.499,-0.00279434,-2.24697e-05,0.0
16,293.115,100143.0,143.499,-0.00270099,-1.75233e-05,0.0
17,293.115,100143.0,143.499,-0.00262488,-1.36497e-05,0.0
18,293.115,100143.0,143.499,-0.00256293,-1.05528e-05,0.0
19,293.115,100143.0,143.499,-0.0025128,-8.02937e-06,0.0
20,293.115,100143.0,143.499,-0.00247264,-5.93761e-06,0.0
21,293.115,100143.0,143.499,-0.002441,-4.17628e-06,0.0
22,293.115,100143.0,143.499,-0.00241672,-2.6711e-06,0.0
23,293.115,100143.0,143.499,-0.00239886,-1.36462e-06,0.0
24,293.115,100143.0,143.499,-0.00238667,-2.07492e-07,0.0
25,293.115,100143.0,143.499,-0.00237955,8.55479e-07,0.0
26,293.115,100143.0,143.499,-0.00237697,1.87567e-06,0.0
27,293.115,100143.0,143.499,-0.00237873,2.74087e-06,0.0
28,293.115,100143.0,143.499,-0.00238457,3.46786e-06,0.0
29,293.115,100143.0,143.499,-0.00239396,4.13732e-06,0.0
30,293.115,100143.0,143.499,-0.00240655,4.78507e-06,0.0
